"Ид","Название","Город","Место","Рейтинг","ТРК по БС"
"50386","Fight Club","Тель-Авив","116","6483","6538"
"58529","Трудовые резервы","Санкт-Петербург","117","6482","7238"
"27075","По справедливости","Долгопрудный","118","6476","5970"
"6651","Жрецы Хамона","Лондон","119","6474","6784"
"5975","Total","Рига","120","6467","6863"
"1866","Левый берег","Киев","121","6451","7008"
"5366","23 красное","Калининград","122","6449","6767"
"42997","Друзья парадоксов","Москва","123","6447","7104"
"48124","Hangover","Архангельск","124","6425","6661"
"55133","Сборная Кайнозоя","Санкт-Петербург","125","6418","7213"
"2855","Оберон","Красноярск","126","6405","6919"
"27119","Легионеры Боливарии","Минск","127","6389","6645"
"42558","Savage","Кишинёв","128","6384","6878"
"1733","Суббота 13","Нью-Йорк","129","6367","6112"
"493","Beit Grand - Аборигены","Одесса","130","6365","6477"
"6855","Несомненный скрамасакс","Москва","131","6352","7029"
"74439","Ars longa","Санкт-Петербург","132","6347","7407"
"3465","Команда Алхазова","Кишинёв","133","6344","6086"
"51451","Овечка в доле","Москва","134","6339","7004"
"68858","Тень отца Симбы","Москва","135","6334","7162"
"8327","Drakony Jmovirnosti","Львов","136","6325","5808"
"53185","Сербский мультфильм","Москва","137","6324","7008"
"1966","Веретено","Торонто","138","6322","6737"
"10285","Какая вам разница?","Харьков","139","6322","6227"
"7896","По фигу","Москва","140","6307","6989"
"673","МГТУ","Москва","141","6296","6938"
"65697","Правый зелёный","Москва","142","6292","6777"
"42100","Резко континентальные","Нур-Султан (Астана)","143","6289","6387"
"4885","Троянский конь","Уфа","144","6287","6426"
"4252","Ять","Минск","145","6278","6053"
"45409","Сельдь","Москва","146","6273","5861"
"59053","Все твои друзья","Санкт-Петербург","147","6266","6043"
"210","От Винта - Братья по фазе","Харьков","148","6258","5550"
"42263","Румба","Москва","149","6255","6064"
"66","Ультиматум","Гомель","150","6250","6341"
"38429","Команда пьёт","Санкт-Петербург","151","6242","6968"
"50163","Ничего не пони","Владивосток","152","6238","5965"
"54476","Теория чистых ожиданий","Рига","153","6219","6788"
"51228","Одиночество в SETI","Одесса","154","6215","6739"
"53877","Бешеная ладья","Москва","155","6205","7112"
"3730","Сдача бреда","Санкт-Петербург","156","6184","6427"
"52055","Братья Блюз","Ижевск","157","6176","6160"
"6790","Тёмный лес","Мюнхен","158","6168","6540"
"50319","Городок","Улан-Удэ","159","6160","5876"
"6143","Фракталы","Казань","160","6152","6513"
"435","МАСКА","Москва","161","6150","6198"
"38164","Фабрика мыслей","Москва","162","6146","6812"
"8328","Finntrolls","Львов","163","6145","6099"
"42561","Любовь Каксон","Минск","164","6144","6138"
"41420","Скидельские бураки","Гродно","165","6141","6669"
"239","Брейнозавры","Архангельск","166","6135","5708"
"72111","Шляпа в деле","Санкт-Петербург","167","6134","7189"
"7428","Знать!","Самара","168","6132","6146"
"71566","Совиньон","Ивантеевка","169","6119","6739"
"4130","Как-то так","Прага","170","6104","5358"
"84","Норманны","Мурманск","171","6101","6030"
"43417","ВнеБро","Киев","172","6099","6836"
"791","Дилемма","Саратов","173","6086","6001"
"44107","Триумфальная лапка","Брянск","174","6072","6453"
"55189","MW","Беркли","175","6063","6613"
"72544","Прыг-Скок","Мюнхен","176","6051","6728"
"48277","Недовольные каменщики","Санкт-Петербург","177","6042","6489"
"50088","White eagles","Москва","178","6031","6750"
"358","43","Санкт-Петербург","179","6028","6046"
"40348","Горячие головы","Гомель","180","6027","6398"
"55501","Семь сорок","Минск","181","6023","6124"
"55336","Zzyzx Rd.","Москва","182","6010","6625"
"41578","Флуд","Санкт-Петербург","183","6005","6351"
"662","El dorado","Москва","184","6000","5760"
"4718","Inside","Краснодар","185","5999","5854"
"5427","Оттуда","Тюмень","186","5998","6566"
"67543","Холодно и мокро","Санкт-Петербург","187","5978","7188"
"55606","Искусство ухода","Москва","188","5976","6619"
"3356","Питейные жилеты","Киев","189","5970","0"
"45599","Jazz","Баку","190","5966","6082"
"55225","Ещё чашечку, Петри!","Санкт-Петербург","191","5962","6245"
"2040","Три Икса","Даугавпилс","192","5954","6161"
"28599","Такие дела","Ульяновск","193","5943","6392"
"209","Команда Коваленко","Великий Новгород","194","5942","6103"
"45349","Полосатая неясыть","Санкт-Петербург","195","5928","0"
"46022","Пятница","Брянск","196","5928","6365"
"65597","Совучастники и совчувствующие","Москва","197","5928","6691"
"38145","Каспий","Актау","198","5915","6265"
"26956","Приматы","Днепр (Днепропетровск)","199","5904","6924"
"336","Чудо в перьях","Санкт-Петербург","200","5883","6125"
"55257","Timmy","Санкт-Петербург","201","5868","5801"
"42375","Venceremos","Москва","202","5864","6257"
"1903","Big Narvasadata","Челябинск","203","5861","5087"
"42534","Поребрик","Тюмень","204","5856","5573"
"52856","Сова бьен","Санкт-Петербург","205","5856","6827"
"5694","ЗАО Дно","Москва","206","5850","0"
"58865","Cherchez la Panda","Берлин","207","5849","5797"
"56459","American Whale","Нью-Йорк","208","5848","6177"
"65268","В гостях у Кафки","Прага","209","5833","6888"
"766","Северная корона","Воронеж","210","5830","5793"
"26958","26958","Днепр (Днепропетровск)","211","5827","3815"
"55655","Во вторник сможем","Москва","212","5825","6508"
"40195","White and nerdy","Долгопрудный","213","5819","0"
"53417","Фернанотехнологии","Санкт-Петербург","214","5817","6489"
"43486","Хомяки","Белгород","215","5807","5719"
"200","ОНУ им. Мечникова","Одесса","216","5803","3693"
"56191","Атака короеда","Санкт-Петербург","217","5797","6532"
"6075","Слон в удаве","Баку","218","5794","5563"
"52275","Предпоследние","Санкт-Петербург","219","5792","6493"
"1025","Двин","Ереван","220","5791","4738"
"67818","Лунапарк с нуля","Пермь","221","5789","6055"
"71317","Tundra","Мурманск","222","5788","6524"
"2111","Арзамас-2004","Иркутск","223","5784","5956"
"40952","Мальчики мадам Ивановой","Чебоксары","224","5784","5863"
"1799","Снова","Новороссийск","225","5783","5131"
"42557","Шодойчланд","Санкт-Петербург","226","5767","6096"
"45551","Станочницы","Санкт-Петербург","227","5762","6366"
"27254","Altavista","Брест","228","5758","6397"
"5521","Н.И.Ш.А.","Рига","229","5757","5794"
"59814","Все хотят","Москва","229,5","5751","Команда с динамическим БС"
"60574","Пернатонога Кукумявка","Киев","230","5740","6714"
"28369","Наобум","Владимир","231","5729","5937"
"65522","Первая подзаборная","Раменское","232","5729","6637"
"4869","Птица-говорун","Тель-Авив","233","5727","5584"
"6088","Марклар","Долгопрудный","234","5724","4548"
"45541","Станция Курская","Курчатов","235","5724","6483"
"50000","Алые паруса","Берлин","236","5723","6381"
"49934","Список кораблей","Москва","237","5717","6218"
"48115","Children of Bodun","Тула","238","5715","4629"
"48762","Кондуктор понимает","Москва","239","5710","6646"
"48303","Человек-снежинка","Таллин","240","5707","6007"
"46550","Ханаанский бальзам","Москва","241","5697","6477"
"37797","Эрудит","Алматы","242","5696","6029"
"53052","Эрликон","Цюрих","243","5695","5954"
"6856","Зубы Суареса","Екатеринбург","244","5693","5964"
"157","Дети Патанджали","Тюмень","245","5682","5592"
"69124","Пятно","Амстердам","245,5","5665","Команда с динамическим БС"
"575","Летающий цирк","Москва","246","5660","6170"
"42995","Сенча Вакана","Москва","247","5658","6613"
"2909","Мистерия","Ташкент","248","5656","6011"
"2421","МММ","Новосибирск","249","5651","6174"
"59443","Говядина по-тарковски","Запорожье","249,5","5638","Команда с динамическим БС"
"45369","Маразм","Сыктывкар","250","5637","6659"
"7904","Балаган леммингов","Челябинск","251","5636","4759"
"405","Зелёный трамвай","Кишинёв","252","5624","5960"
"37731","Любовь","Калуга","253","5622","6040"
"5444","Эйфью","Минск","254","5609","5718"
"205","БН","Курск","255","5604","5755"
"72228","Вихасоо-21","Таллин","256","5600","6604"
"4705","9 Вал","Калининград","257","5589","5827"
"27465","Homo Ludens","Киев","258","5579","5559"
