"Ид","Название","Город","Место","Рейтинг","ТРК по БС"
"40026","ЛУК","Архангельск","662","4147","4440"
"39293","Весёлые грибы","Екатеринбург","664","4142","3590"
"51198","69","Казань","663","4142","3981"
"7980","ХЗ","Вашингтон","667","4140","4529"
"49945","МММ","Витебск","665","4140","4951"
"53063","Сергиев Посад","Хабаровск","666","4140","4396"
"50435","Эйяфьядлайёкудль","Владивосток","668","4134","4894"
"51276","Жжёный хлебушек","Санкт-Петербург","669","4132","4460"
"26750","Palata NN","Тула","670","4131","2736"
"60717","Ежу понятно","Минск","671","4129","3909"
"1752","5 елемент","Черновцы","672","4125","4156"
"44284","КИТы","Карлсруэ","673","4124","4406"
"56815","Властное Эскимо","Самара","674","4123","4730"
"57900","Kunteynir","Москва","675","4120","5161"
"55580","Квадратура тура","Таллин","676","4115","5021"
"6987","Ктулху","Ярославль","677","4113","4391"
"37923","С блэк-джеком","Минск","679","4110","3123"
"48387","Госпиталь Святого Локи","Воронеж","678","4110","4087"
"58029","Пиши поперёк","Нижний Новгород","680","4103","4408"
"41017","Снукер","Харьков","681","4097","4690"
"4957","Особое мнение","Тверь","682","4090","0"
"2611","МГ-9","Вологда","683","4088","4363"
"5708","Второй фронт","Тверь","684","4084","4395"
"59463","Кир и лл","Минск","685","4084","0"
"54373","Апсны","Иркутск","686","4081","5280"
"7105","Sakashii na Tenshi","Кривой Рог","687","4076","5196"
"51630","Белые воротнички","Одесса","688","4073","0"
"51484","Палка-отвечалка","Ярославль","689","4069","4655"
"51320","Нечёткая логика","Таганрог","690","4068","4088"
"62495","Команда № 5","Прага","691","4067","0"
"57676","Московская сборка","Москва","9999","4063","5079"
"2598","Вкруже","Чикаго","692","4062","4236"
"57594","КБУ","Белгород","693","4058","4747"
"7451","Система Ниппель","Казань","694","4057","4387"
"65703","В поисках названия","Прага","695","4056","4755"
"59814","Все хотят","Москва","696","4052","0"
"50707","Почтальона драндулет","Москва","697","4046","0"
"58562","Незнайки на Луне","Дмитров","698","4044","4669"
"42785","Мыжцы","Нижний Новгород","699","4043","4056"
"8425","Светлые головы","Калининград","700","4042","4493"
"318","Апрель","Ростов-на-Дону","701","4040","4117"
"2821","Хунвейбины","Минск","702","4040","3973"
"3205","Боярская дума","Смоленск","703","4035","3266"
"66720","Жёваный крот","Иваново","704","4035","4869"
"45690","Бледность Ленина","Минск","705","4026","4192"
"28642","От Винта - Zoodiak","Харьков","706","4024","4056"
"39152","На своей волне","Томск","707","4019","4518"
"261","Хохма","Тель-Авив","708","4016","4881"
"7579","МПЗТ","Петрозаводск","710","4014","4526"
"43261","Господин Брейтенбихер","Красноярск","709","4014","4800"
"1047","Старики-разбойники","Харьков","712","4013","4157"
"65284","МНВС","Москва","711","4013","4520"
"42645","НТЦ","Тольятти","713","4010","4233"
"54517","Дичь","Обнинск","714","4009","4297"
"420","Удача","Вологда","716","4007","3976"
"59478","City of tatars","Казань","9999","4007","5009"
"59533","Пример стабильной команды","Долгопрудный","715","4007","4626"
"1068","Пончик пилатес","Нижневартовск","717","4001","3606"
"7591","Берлин Мумбай","Сургут","718","3990","4478"
"48997","Уэллс Фарго","Краснодар","719","3990","0"
"47173","Пирожок с капустой","Москва","720","3987","3824"
"4975","Фикус","Ванкувер","722","3986","4538"
"53097","Беспорядочные интеллектуальные связи","Волгоград","721","3986","4310"
"2859","La Terna","Киев","723","3982","4635"
"51239","Витя","Москва","724","3982","3853"
"53268","Coffee people","Петрозаводск","725","3981","4471"
"55735","Сумчатая сова","Апатиты","726","3979","4074"
"55546","Обеян-Серебряный","Москва","727","3975","4136"
"10152","Brain Storming","Киров","728","3973","4844"
"56925","Масоны-рептилоиды","Санкт-Петербург","729","3972","4559"
"1743","От Винта - Дюрандаль","Харьков","730","3970","3847"
"58380","Олег с мышами","Варшава","731","3967","4369"
"55526","Лизни конверт","Новосибирск","732","3960","4831"
"45438","Верный вомбат","Пермь","733","3959","3651"
"51776","Человеки из Кемерова","Минск","734","3958","4612"
"38646","Гугол скифов","Воронеж","735","3957","2710"
"57542","Страх и ненависть в Майкудуке","Караганда","736","3953","3906"
"59338","Игра на инженервах","Санкт-Петербург","737","3952","4471"
"88","Команда Виталия Низовца","Гомель","738","3951","3802"
"208","Вист!","Герцлия","739","3949","4236"
"58641","Свистать всех наверх!","Санкт-Петербург","9999","3948","4935"
"72457","Очир Очиров","Москва","741","3941","5076"
"49284","13 сектор","Актобе","742","3937","4192"
"4156","7Hz","Ташкент","743","3932","3998"
"53838","Полёт Навигатора","Эйндховен","743,5","3931","Команда с динамическим БС"
"51787","Аксиома","Тольятти","744","3930","2479"
"64972","Верба","Саарбрюккен","745","3930","4448"
"460","Врачебная ошибка","Казань","746","3926","605"
"56014","Шутконос","Одесса","747","3926","4680"
"42419","Охота на сов","Тюмень","748","3921","3860"
"48973","У доски","Франкфурт-на-Майне","749","3920","4240"
"27219","Детский сад","Ульяновск","750","3917","4340"
"172","Electronic wife","Москва","751","3916","3874"
"6167","Налево от Льежа","Кёльн","753","3915","4944"
"43945","Карниз досады","Пермь","752","3915","3560"
"58327","Читал Бальзака","Париж","754","3909","4279"
"45473","Neotoma","Барнаул","755","3906","4689"
"65904","Кипиш мод","Москва","756","3896","4094"
"59218","Sich","Запорожье","757","3895","0"
"8034","Махнёмся кристаллами","Новосибирск","758","3894","0"
"51680","Синдикат злых оборотней","Ростов-на-Дону","759","3891","3422"
"6562","Авалон","Воронеж","760","3886","3571"
"4967","Инсайт","Архангельск","761","3879","3774"
"38598","Сборная Денвера","Денвер","762","3879","3888"
"28548","Дануна","Актау","763","3875","4473"
"55666","Шметерлинк","Тернополь","764","3875","3715"
"62365","Безумный Ма(р)кс","Иваново","765","3874","4883"
"50936","Кубики Вомбата","Ярославль","766","3872","4785"
"3987","Плохие парни","Владикавказ","767","3871","2504"
"72612","Придётся буквами","Санкт-Петербург","768","3871","4579"
"68172","Басенджи","Алматы","769","3864","4580"
"51237","Грациозный лось","Нижний Новгород","770","3863","4209"
"1955","Феникс","Одесса","771","3862","3819"
"59915","Шах и Мат","Бостон","772","3859","3634"
"50174","Красный пуфик","Белгород","773","3857","4339"
"38791","Anfield","Ереван","774","3856","4705"
"1075","P.S.","Днепр (Днепропетровск)","776","3852","0"
"49419","РСМ","Ростов-на-Дону","778","3852","4638"
"70157","Метеор","Санкт-Петербург","777","3852","4981"
"50792","Хайзенберг","Самара","779","3851","4139"
"1108","Команда","Таллин","780","3846","4220"
"566","НАУтилус","Киев","782","3842","2684"
"59319","Литровый двигатель","Калининград","781","3842","4841"
"56561","6 жён Генриха 8","Лондон","783","3840","4250"
"61193","Сумчатые крабы","Вена","784","3837","3994"
"59638","Alohomora","Санкт-Петербург","785","3830","0"
"65022","Пески","Москва","786","3819","4125"
"266","Орден Водяной Вороны","Краснодар","787","3818","2258"
"49823","Borjgch","Рязань","788","3808","4117"
"48546","Вау! Сигнал","Минск","789","3806","4801"
"5613","Синяя ветка","Таллин","791","3804","4293"
"38199","ИерЕхон","Краснодар","790","3804","4334"
"44834","Быстрый нейтрон","Заречный","792","3802","3856"
"7844","Ситхи Иеговы","Ивано-Франковск","793","3799","0"
"60245","Улиточка","Берлин","794","3799","4755"
"58125","Ижкар","Ижевск","795","3798","4312"
"46978","Пикачу","Белгород","796","3795","4150"
"1794","Потому что гладиолус","Хайфа","797","3792","4081"
"8288","Друзья Парамонова","Долгопрудный","798","3787","4718"
"3150","Гелиос","Астрахань","799","3785","3520"
"2742","СКИТ Forever","Симферополь","801","3784","2580"
"63470","Весло","Вена","800","3784","4467"
"65915","5 из 36","Москва","9999","3782","4728"
"38124","Falcon","Баку","802","3779","3597"
"55636","Пегий дудочник","Челябинск","803","3772","3206"
"60820","Деловой интерес","Пермь","804","3767","4577"
"71580","Лотофаги","Чита","805","3751","4148"
"4896","Талярихитама","Харьков","806","3749","3790"
"66025","Дженгелеле","Москва","807","3748","0"
"5681","Имени трамвайного билетика","Коломна","808","3746","0"
"2192","Тридцатиногая сороконожка","Иркутск","810","3745","0"
"42158","Дескать","Екатеринбург","809","3745","4012"
"29548","БорисКо","Ступино","811","3736","3182"
"38910","Импульс","Гомель","812","3736","3805"
"72679","Мы календарь","Рига","813","3735","5078"
"4660","Эврика","Воронеж","814","3733","3618"
"52297","Хай-фа","Сиэтл","816","3732","3724"
"54475","Сава-Мава","Москва","815","3732","4610"
"2376","Мы","Ростов-на-Дону","817","3729","3068"
"7987","Арсенал","Воронеж","818","3726","4215"
"65761","Дали правильных ответов","Одесса","819","3721","4429"
"66339","Редупликация","Санкт-Петербург","820","3721","4759"
"4237","Градус","Петрозаводск","821","3719","3959"
"28665","РЛАУВАУ 2010","Харьков","822","3719","5346"
"48118","Джойс Дивижн","Саранск","823","3717","4643"
"44830","Сумбур вместо музыки","Москва","824","3716","0"
"2000","Спартак","Гомель","825","3714","2737"
"54934","Набор букв","Оренбург","826","3713","4029"
"5908","Альдебараны","Петрозаводск","827","3710","4112"
"53022","Солянка","Лесной","828","3710","4445"
"61282","Три вида мяса","Санкт-Петербург","829","3710","3916"
"60319","Волжские орлы","Нижний Новгород","830","3709","4168"
"68908","Распри","Берлин","832","3699","4833"
"5249","ХаЛера","Усть-Каменогорск","833","3695","3243"
"3728","Укол","Мурманск","834","3694","4285"
"52250","Сверхновая","Улан-Удэ","836","3693","4054"
"53667","Бред существования","Санкт-Петербург","835","3693","3744"
"56819","Неслучайные связи","Самара","837","3692","3939"
"49972","Буй","Владивосток","838","3684","4200"
"5774","От Винта - Квартира №7","Харьков","839","3680","4347"
"51462","Паша-агротехник","Иркутск","840","3668","0"
"48545","149","Минск","841","3666","3924"
"65889","Свирепо и вдаль","Иркутск","842","3666","3330"
"2765","Оазис","Кишинёв","843","3665","4256"
"28572","КГБ","Киев","844","3656","4219"
"62806","Случайный сектор","Обнинск","845","3654","3721"
"37751","Веербро","Самара","846","3651","4167"
"38322","ХЗИВ","Минск","847","3651","3156"
"53990","НИИстовые","Владивосток","848","3649","0"
"56201","С красивым названием","Рязань","849","3649","4343"
"3173","Пуззли","Ярославль","850","3648","4234"
"46319","Квазар","Нововоронеж","851","3644","4223"
"72548","WE Too","Москва","852","3638","4327"
"50676","Клюв ненависти","Шанхай","853","3635","4260"
"55611","Троянский конь","Самара","854","3635","4391"
"26986","ДВД","Тольятти","855","3629","3278"
"57898","Ну и ладно","Санкт-Петербург","856","3628","4244"
"51400","Онлайн","Хабаровск","858","3626","4082"
"62112","Икра сов","Берлин","857","3626","4705"
"53577","А был ли Миллиган?","Москва","859","3624","3937"
"5209","Эллада","Смоленск","861","3619","2927"
"62111","Резерв ставки","Иваново","860","3619","4209"
"60426","Децимация","Брест","862","3617","2878"
"65876","Величие","Москва","863","3616","0"
"37728","Лангольеры","Мурманск","865","3614","4451"
"58621","Институт проблем","Москва","864","3614","2273"
"69228","С мазиком","Москва","866","3614","4288"
"27161","Хохлома","Ростов-на-Дону","867","3610","4282"
"72697","Референц-грушоид","Москва","868","3609","4413"
"338","Энергия","Полярные Зори","869","3606","3727"
"2824","Саветум","Минск","871","3603","3644"
"48428","И тебя тоже","Минск","870","3603","2108"
"787","САВа","Великий Новгород","873","3600","3995"
"51632","Петергофская мыловарня имени Тайлера Дёрдена","Санкт-Петербург","872","3600","3782"
"51069","Трудовые резервы","Луганск","874","3597","3586"
"1223","Ва-банк","Ашхабад","875","3591","4225"
"1072","Пластилиновый Хуги","Гомель","876","3587","2705"
"48041","Эсквайры","Махачкала","877","3587","4324"
"38035","Логичная логика","Сургут","878","3584","4171"
"334","Чеширский конь","Тель-Авив","879","3582","3509"
"3146","Авось","Дортмунд","880","3576","4464"
"129","Эмси-Эмси","Хельсинки","881","3571","4145"
"60301","Eurus","Москва","882","3568","4331"
"52581","Ы","Пало-Альто","883","3565","4081"
"45460","Потому что гладиолус","Санкт-Петербург","884","3562","4892"
"63283","Призрак оптимизма","Лимасол","885","3560","2965"
"53196","Ленивые голубцы","Санкт-Петербург","886","3557","4459"
"72683","Хата с краю","Москва","887","3550","4057"
"56108","Гоп-компания","Петропавловск-Камчатский","888","3544","4341"
"57147","Наугад","Мурманск","889","3542","4420"
"39258","Британские учёные","Кембридж","890","3540","4117"
"43274","Ad Hoc","Нью-Йорк","891","3530","4385"
"286","Пробка","Кобленц","892","3528","2390"
"75746","Атолл Бикини Боттом","Одесса","9999","3526","4407"
"66848","Демонический танец Дукалиса","Могилёв","893","3525","3945"
"42699","Фаза обратного развития","Москва","894","3523","3689"
"53838","Полёт Навигатора","Эйндховен","895","3514","2793"
"42469","X-Ray бросает пить","Санкт-Петербург","896","3512","2035"
"71309","Вечное цукуёми","Минск","897","3509","4471"
"54414","Люмос","Ростов-на-Дону","898","3499","4820"
"43532","Стальная ложка","Лида","899","3497","3038"
"59914","И так сойдёт","Нижний Новгород","900","3492","3248"
"856","Каспиана","Баку","901","3489","3749"
"55306","Шесть дыбом","Санкт-Петербург","902","3483","0"
"45521","Радио Маяк","Сумы","903","3476","2618"
"8632","Архетипы","Южно-Сахалинск","904","3475","4009"
"55647","Доктор ВОМ","Москва","905","3465","3430"
"40024","Свежесть","Саранск","906","3463","4143"
"38988","Vendetta","Воронеж","907","3462","2818"
"71360","Всем игристого!","Владивосток","908","3459","4094"
"48043","Посадка с натягом","Химки","909","3454","3963"
"37762","Сам-Бука","Вильнюс","910","3449","4304"
"53582","Ассорти","Тольятти","911","3447","2734"
"52396","Британские учёные","Хабаровск","912","3442","3753"
"62267","Зима близко","Якутск","913","3437","4362"
"133","Дети капитана Врунгеля","Хельсинки","914","3435","2860"
"57218","СоциоParty","Санкт-Петербург","915","3431","4139"
"65968","Вагон-рельсосмазыватель","Санкт-Петербург","916","3429","4070"
"70473","Magnum","Ташкент","917","3428","4098"
"4003","СО14","Таллин","918","3426","3353"
"45560","Тропик Рака","Нур-Султан (Астана)","919","3425","0"
"51543","Насмарку","Кишинёв","921","3417","3879"
"54860","Джагернаут","Тбилиси","920","3417","2931"
"53242","Адам Смит","Санкт-Петербург","922","3415","3145"
"54543","Алан Смити","Рига","923","3415","3630"
"51666","Et tu, Boruto?","Санкт-Петербург","924","3409","0"
"61112","Lonely Buffalo","Стэмфорд","925","3409","4198"
"218","Синий лев","Москва","926","3405","2792"
"54333","Домкрат Гагарина","Харьков","927","3403","4082"
"3217","Джон и Катапульта","Дортмунд","928","3401","4059"
"50896","Принцип неопределённости","Казань","9999","3401","4251"
"57214","Пик Балмера","Винница","929","3397","3084"
"70713","Селфистоторо","Владивосток","930","3392","4333"
"37858","Не корову проигрываем","Санкт-Петербург","931","3390","3544"
"51996","Немного математиков","Одесса","932","3390","4975"
"58672","WarSowiak","Варшава","933","3387","3035"
"70222","Де Ла Труба","Москва","933,5","3382","Команда с динамическим БС"
"45779","Дед Мазай и зайки","Хабаровск","934","3382","0"
"59749","Люди Ч","Мурманск","936","3378","3275"
"64973","Жёлтая Резиновая Уточка","Франкфурт-на-Майне","935","3378","4274"
"64871","Мясо для Бокассы","Санкт-Петербург","937","3377","0"
"56125","Ареола","Одесса","938","3374","3567"
"67289","Пожиратели сети","Москва","939","3374","3337"
"38317","EcoSapiens","Минск","940","3367","3943"
"71907","Хижина дяди Дёнера","Новосибирск","941","3367","4189"
"1137","Каисса - Дикий сад","Николаев","942","3364","2570"
"70687","Глаголом жгущие","Санкт-Петербург","943","3363","4378"
"71349","Портрет художника в юности","Санкт-Петербург","9999","3363","4204"
"87","Форум","Могилёв","945","3360","3203"
"6462","Зачёт","Миннеаполис","944","3360","3486"
"40150","Ума не надо","Саров","946","3357","3746"
"58200","Лётчик","Великий Новгород","947","3351","3330"
"59529","Пирамидка","Петрозаводск","949","3343","3690"
"65793","Ножик в тумане","Москва","948","3343","5205"
"56423","Всем всё равно","Воронеж","950","3342","3544"
"56896","ОКП","Зеленоград","951","3339","4238"
"73750","Устная раздатка","Новосибирск","952","3339","4379"
"72422","Завинач Павлова","Прага","953","3338","4270"
"58172","Perche Mangio","Москва","954","3331","3619"
"50663","Perthect","Перт","955","3317","2974"
"51277","Одна команда","Фрайберг","956","3317","4172"
"69141","Троезапяточие","Киев","957","3317","4176"
"2919","Чёрный мерин","Штутгарт","958","3316","2919"
"74810","Сдавай как есть","Санкт-Петербург","959","3313","4268"
"56078","Большие люди","Краков","960","3302","3624"
"2673","Британские учёные","Ростов-на-Дону","961","3299","2847"
"72822","ОРиКД","Коломна","962","3297","4136"
"41259","Аксиома Эскобара","Симферополь","963","3296","2788"
"7015","Няхай!","Брест","965","3295","3637"
"38989","Сила мысли","Воронеж","966","3295","3198"
"347","Инкогнито","Тбилиси","967","3292","0"
"38917","Кузинатра","Сиэтл","968","3292","3647"
"59256","Белый вигвам","Москва","969","3289","0"
"43726","Белка-Бродяга","Санкт-Петербург","970","3286","0"
"53572","Параграф 604","Гамбург","971","3284","3495"
"27066","Гладиолус","Воронеж","973","3282","3720"
"59159","Rolling Owls","Нью-Йорк","972","3282","3777"
"654","Начало второго Тома","Кривой Рог","974","3278","2687"
"55815","Бархатный Сазон","Минск","975","3277","0"
"48092","Всадники Тамблвида","Москва","976","3276","0"
"52136","Михаил Шевцов","Владивосток","978","3274","3934"
"57691","Артём против","Москва","977","3274","0"
"27477","Дизель","Магнитогорск","980","3272","3424"
"70945","В команде есть замена","Москва","979","3272","4000"
"49876","Агрофизики","Уфа","981","3271","0"
"55357","3-4 ЕВС!","Могилёв","982","3270","3697"
"42502","ПереучётЪ","Ровно","984","3266","0"
"54861","Сборная Ставропольского края","Невинномысск","985","3266","2805"
"62268","Боромир и принц-полукотик","Петрозаводск","983","3266","4047"
"62138","ПБК","Санкт-Петербург","987","3265","3970"
"63220","Бесславные краснолюдки","Вроцлав","986","3265","4019"
"59898","Ручные гидры","Курган","988","3261","3721"
"728","КН","Одесса","990","3259","4072"
"5127","Братья КарамазЛовы","Нью-Йорк","989","3259","3818"
"6364","Акулы пера","Петрозаводск","991","3254","3590"
"71574","Дети Хурмы","Сочи","992","3252","4210"
"8315","Дельтаплан","Новополоцк","993","3249","4133"
"28476","Ярость Вассермана","Прага","994","3242","3562"
"44198","Интеграл с разбега","Москва","995","3239","0"
"66328","Дно ручейка","Москва","996","3238","0"
"51861","Ерундиты","Пенза","998","3233","3314"
"70685","НУФА","Санкт-Петербург","999","3232","3616"
"58208","Тигров нет","Уссурийск","1000","3231","3516"
"68169","Профи-тролли","Москва","1002","3230","3536"
"72780","Имярек","Нью-Йорк","1001","3230","3874"
"55847","6 негритят","Тернополь","1003","3229","2950"
"6481","Симулируем сарказм","Нижневартовск","1004","3221","2939"
"51677","All-In","Ростов-на-Дону","1005","3212","4222"
"55676","Мирзализаде","Минск","1007","3210","3480"
"56721","Крестики","Бостон","1006","3210","3552"
"62085","Столик","Киев","1008","3207","2760"
"51584","МГТУ - Зов сов","Москва","1009","3202","4274"
"58694","Ми і стіл","Киев","1010","3202","4050"
"69032","НАТЕ","Лимасол","1011","3197","3724"
"62219","Алан Смити","Красноярск","1012","3196","3551"
"74081","Гусь Миллениальный","Лондон","1013","3194","4175"
"72609","2020","Нюрнберг","1014","3192","3717"
"5223","Счастливый случай","Тбилиси","1015","3184","2911"
"38960","Наномозги","Петрозаводск","1017","3180","3043"
"59488","Арьергард в опасности","Иркутск","1016","3180","3798"
"40211","Старый Добрый Гусь","Калуга","1019","3177","2999"
"54676","Кадры","Филадельфия","1018","3177","2880"
"69085","Стокгольмский синдром","Екатеринбург","1020","3177","3390"
"59391","Моцнае Лёгкае","Брест","1021","3174","3608"
"51976","Ячейка Поккельса","Москва","1022","3171","2708"
"56844","Ассорти","Калининград","1023","3170","4171"
"59743","Решающее слово","Новосибирск","1024","3170","0"
"4631","Animals","Архангельск","1025","3163","2986"
"60920","Крокодилы ходят лёжа","Минск","1026","3163","2704"
"48535","Рейтинг МАКгрегора","Тольятти","1027","3161","0"
"8702","Красень","Санкт-Петербург","1028","3160","3591"
"2374","Teen Spirit","Ейск","1029","3159","0"
"58400","Отнять и поделить","Хельсинки","1030","3159","3592"
"59402","Служба 05","Северодвинск","1031","3159","3940"
"46056","Sapere Aude","Санкт-Петербург","1032","3157","3328"
"60922","Sad boeing","Несвиж","1033","3155","3400"
"123","Артефакт","Минск","1034","3150","2278"
"56563","Сборная независимых воинов","Москва","1035","3149","2973"
"47185","Ерундиция","Санкт-Петербург","1036","3148","3646"
"52781","Глокая куздра","Борисов","1039","3140","2703"
"54354","Джуманджи","Иваново","1040","3140","3409"
"63085","Brexit","Зеленоград","1037","3140","3861"
"66398","Всё равно","Прага","1038","3140","3839"
"3994","Чердак","Ярославль","1042","3137","3902"
"68496","Наука побеждать","Москва","1041","3137","3568"
"48362","В моей руке голубь","Санкт-Петербург","1043","3130","2897"
"6784","ДК им. Заратустры","Долгопрудный","1044","3128","2031"
"55200","Люберецкие карлицы","Санкт-Петербург","1047","3124","3724"
"64782","Iнодi тиша","Киев","1046","3124","3067"
"42729","Пунктуальность","Черкассы","1048","3123","2866"
"48119","BlackOut","Магас","1049","3120","0"
"65917","Осмос","Йошкар-Ола","1050","3116","3588"
"69147","Детский адик","Калининград","1051","3114","4144"
"65787","Беларусбанк","Минск","1052","3109","3917"
"51734","Отжал сандали","Вена","1053","3106","2800"
"46831","Стратум","Эйндховен","1054","3105","3350"
"45633","ЧЗ","Торонто","1055","3104","2957"
"52057","ЭПОЧ","Новосибирск","1056","3102","2846"
"57219","Команда, занявшая первое место","Уфа","1057","3099","3503"
"62769","Мизантропы","Мюнхен","1058","3097","3874"
"26706","Каскадёры","Калининград","9999","3094","3867"
"28391","Нанотролли","Томск","1059","3094","0"
"883","7Х","Миннеаполис","1060","3087","3259"
"52041","Перевал Дятлов","Брест","1061","3087","0"
"53559","Фантомас разбушевался","Париж","1062","3078","3692"
"253","Mind Game","Харьков","1063","3077","3117"
"56129","Неправильные пчёлы","Одесса","1064","3077","2410"
"65266","Сумасшедшая чайная вечеринка","Барнаул","1065","3077","3785"
"54933","Дети Йети","Оренбург","1066","3074","3250"
"5001","Ва-банкЪ","Гомель","1068","3066","3337"
"767","Томатный сок","Северодвинск","1069","3065","2431"
"45777","VIP","Хабаровск","1070","3058","0"
"5205","Мафия","Астрахань","1071","3051","3947"
"53107","Оля и Бу","Екатеринбург","1072","3049","0"
"317","Авось","Ростов-на-Дону","1074","3046","2846"
"65467","Bravo Zulu","Атырау","1073","3046","3858"
"1522","Ностальгия по свободе","Саранск","1075","3036","2742"
"26789","Флагман","Ростов-на-Дону","1077","3031","0"
"46809","Сборная Ирландии","Дублин","1076","3031","0"
"65874","Я/Мы SAS","Москва","1078","3028","3001"
"37572","Милдранат кагор","Краснодар","1080","3025","3492"
"55371","Вчера","Санкт-Петербург","1079","3025","3510"
"1641","Тундра","Винница","1081","3024","3786"
"43266","Моя любимая команда","Черкассы","1082","3019","3154"
"304","Элефант","Днепр (Днепропетровск)","1084","3018","3483"
"48310","Грибоедов","Заречный","1083","3018","3392"
"51774","Горе от ума","Хабаровск","1085","3017","2915"
"26936","Непотерянное поколение","Москва","1086","3007","3605"
"48095","Жадный лисёнок","Ивантеевка","1087","2996","0"
"55634","Тихий дон Ателло","Владимир","1088","2994","2861"
"58586","Корпорация монстров","Новосибирск","1089","2991","3623"
"55924","Мятый всадник Апокалипсиса","Иркутск","1091","2985","3156"
"47425","Полёт нормальный","Таганрог","1092","2984","3606"
"3933","Иерусалимские хроники","Иерусалим","1093","2981","2223"
"69002","42","Иваново","1094","2979","0"
"49998","Бермуды","Тольятти","1095","2977","2474"
"51641","Дрянной фарс","Алматы","1096","2976","3325"
"46655","Downtown","Петрозаводск","1097","2974","3651"
"39599","Вшестером","Рига","1098","2968","0"
"50256","Чёрная жемчужина","Брянск","1099","2966","3486"
"65180","AAA","Кембридж","1100","2964","3162"
"54605","Фон в норме","Балаково","1101","2961","3341"
"56758","Эрзац Форзац","Ярославль","1102","2959","3520"
"57480","Гуляй, рванина","Санкт-Петербург","1103","2958","0"
"59710","Филёвский парк","Москва","1105","2956","4053"
"71608","Пламенный стержень духовной чистоты","Москва","1104","2956","3516"
"55350","Полудюжина У","Томск","1106","2949","3639"
"7778","Варанда","Степанакерт","1107","2948","2499"
"42509","Альтаир","Павлодар","1108","2946","2822"
"59692","Неполный бак","Москва","1109","2943","3552"
"46503","Орден Сэлема Сэберхэгена","Москва","1110","2942","3372"
"56845","Взгляд из палатки","Калининград","1111","2931","2917"
"6995","ТТ","Тюмень","1113","2929","2673"
"47717","BBQ","Тбилиси","1112","2929","3402"
"55612","Экстремаль","Саранск","1114","2927","4237"
"51728","ЖКТ","Гомель","1115","2926","0"
"1303","Гамма","Харьков","1116","2924","2624"
"44699","451F","Магас","1117","2919","0"
"51211","50 оттенков не смотрели","Воронеж","1118","2914","3074"
"189","Сигма","Новосибирск","1119","2912","2085"
"58144","Красная машина","Королёв","1120","2911","2863"
"8137","Фиасско","Тула","1121","2908","1893"
"65936","Демократия","Цюрих","1122","2907","3452"
"41956","Абажур Ожегова","Москва","1123","2904","1883"
"67002","Ван Дер Тигр","Днепр (Днепропетровск)","1124","2903","0"
"53697","Взрослые","Смиловичи","1125","2901","2426"
"54678","МОЕХ - Маша и медведи","Москва","1126","2899","3201"
"27481","Фактор","Магнитогорск","1128","2898","3284"
"47399","Домино","Клайпеда","1127","2898","3592"
"5369","Друзья","Калининград","1129","2891","3570"
"62402","Парабеллум","Хабаровск","1130","2887","3471"
"56026","Двенадцатый колибри","Ганновер","1131","2882","3344"
"66453","Билли Миллиган","Минск","1132","2880","3258"
"4243","Чайник вина","Зеленоград","1133","2874","0"
"58915","Томагавк","Дублин","1134","2868","2490"
"37671","Кот ест кактус","Северодвинск","1136","2866","3438"
"53896","Квадратный чёрный стол","Одесса","1135","2866","0"
"68323","Моё сердце за мерло!","Минск","1137","2866","2981"
"667","Северный олень","Мюнхен","1138","2864","4433"
"7799","Вендетта","Казань","1139","2861","3182"
"65476","Big Bang","Одесса","1140","2860","2739"
"57067","Гобелены с оленями","Москва","1141","2857","2115"
"66076","Сексуальный карась-мент","Санкт-Петербург","1142","2854","0"
"29790","Черкасское FIDO","Черкассы","1143","2853","3001"
"61585","Спецфакторы","Москва","9999","2853","3566"
"79","Старики-разбойники","Санкт-Петербург","1144","2851","2142"
"51759","Мечтают ли Дементии об электросвиньях?","Иркутск","1145","2849","2312"
"70663","МГТУ - Пламенный мотор","Москва","1146","2848","3453"
"48969","Нарек","Киев","1147","2847","3157"
"66026","Химера","Таллин","1148","2845","0"
"45373","Маскарад","Барнаул","1149","2840","3469"
"8219","Медвежуть","Казань","1150","2838","3127"
"27193","Дубль два","Таллин","1151","2837","2728"
"51597","Проба грунта","Минск","1152","2836","3555"
"47284","Цианид калия","Баку","1153","2834","2691"
"38816","Whiplash","Ереван","1154","2832","0"
"4000","Збых","Халле","1155","2831","2315"
"5086","Стрела","Лондон","1157","2830","2476"
"68118","ЖмеR","Кёльн","1156","2830","3481"
"41853","Синтагма","Серпухов","1158","2829","0"
"3993","Международец","Москва","1160","2826","3491"
"43451","Имитация сарказма","Москва","1159","2826","3063"
"54699","Венецианский капец","Москва","1161","2820","3131"
"57732","Не наш пакет","Калининград","1162","2819","0"
"40456","Volgograd United","Волгоград","1163","2813","2988"
"5396","Солнечный ветер","Липецк","1164","2812","1707"
"59316","Сброд","Муром","1165","2806","0"
"70337","Tamos VIP","Алматы","1167","2796","3436"
"57659","Ложкой лучше","Лесной","1168","2794","0"
"65866","Земляк в иллюминаторе","Пермь","1169","2783","2810"
"4851","Отнюдь","Северодвинск","1170","2782","3294"
"3143","Трям!","Екатеринбург","1171","2780","0"
"194","Десятый вал","Хайфа","1172","2778","0"
"948","Мудрый Гудвин","Краснодар","1173","2778","3530"
